a,606,41334,85291,51860,2953,11528,33032,2116,58072,839,33415,177902,49288,271173,616,39170,762,180122,132566,197925,27376,30417,14467,4162,25164,2887,1475043
b,30500,4620,300,1079,69248,126,81,277,25249,3461,78,49122,512,487,40586,1331,12,28505,27829,3424,24051,325,109,3,30283,14,341612
c,89848,47,12223,135,109500,18468,60,106764,50335,4,30481,26989,74,269,127644,44,801,28488,2890,66696,33413,26,80,73,8093,79,713524
d,24284,628,453,8944,221638,959,6752,1274,88059,1708,100,8971,2268,2822,25158,532,24,22614,20283,558,19434,8611,1736,1,8948,37,476796
e,100117,7450,70571,166065,80409,126595,18594,4353,28073,1137,2460,88325,50739,216627,12065,28141,6302,320689,190449,130730,8272,23261,11008,30097,15972,976,1739477
f,25576,108,269,195,33511,22084,84,115,41158,39,43,21718,117,102910,63394,114,5,50920,862,12102,17561,38,104,10,2922,17,395976
g,29973,355,88,489,65140,647,5112,28312,28252,65,34,17497,2527,11436,19966,143,2,45087,8467,2130,17677,15,413,1,4664,62,288554
h,108964,672,213,489,315477,765,1686,311,91477,32,53,3413,2688,3299,68170,237,52,15185,2111,19761,12439,118,1384,4,15151,12,664163
i,49657,15367,127118,47794,54818,27395,43560,559,3150,282,9297,72657,50464,421522,105285,20119,3872,49883,146610,158145,6962,44490,568,5032,51,10845,1475502
j,4043,10,7,31,8585,7,5,15,448,9,48,26,10,39,7097,12,0,70,34,19,7929,7,1,0,5,4,28461
k,3275,457,142,104,41307,286,88,451,22069,97,352,3660,644,6951,1438,177,2,2412,6856,377,699,83,840,0,1572,49,94388
l,108449,1589,3713,22167,159468,6772,2524,401,115146,112,4487,107818,4499,1783,76950,3929,55,1036,26674,21359,28743,5996,980,138,64973,124,769885
m,91703,20198,230,228,115340,803,89,318,57987,50,46,1013,15224,3020,53376,41972,7,651,8433,461,15790,175,131,1,6959,20,434225
n,60199,1512,68106,157494,130782,10843,196336,2908,66877,2285,8952,9552,2263,17084,56797,1269,1593,1765,68636,144973,17484,7045,1493,494,17044,736,1054522
o,13485,35202,27952,35290,10431,191965,19250,4397,21223,1092,8437,77462,85847,252851,36511,40388,2381,279738,49756,72963,105593,25771,47961,4824,5546,1307,1457623
p,58350,489,147,201,98075,316,362,26678,33836,41,133,49284,927,697,61982,23851,20,80947,8182,15483,18969,8,424,3,3356,29,482790
q,73,0,0,1,18,1,0,10,36,0,0,2,1,0,30,0,4,27,0,1,29566,14,3,0,11,0,29798
r,131186,9871,21661,35903,232645,7808,15602,4614,137190,539,11755,13351,34701,26524,135408,10840,401,25363,51749,67962,31218,10731,2603,15,38388,325,1058353
s,37052,1302,34420,1100,171223,1740,1008,65275,82920,233,8017,12899,17131,4585,69579,49855,3024,770,73428,162464,51044,411,9185,0,11127,55,869847
t,100324,675,13901,220,203437,1931,513,361301,191829,87,130,16633,2788,2249,214669,469,17,76906,38082,33918,41721,146,10459,1,88055,555,1401016
u,24690,18323,28259,15186,19556,4582,14261,208,21216,80,1003,51224,34413,71181,3578,24053,66,79779,103449,53608,340,1121,135,1345,504,615,572775
v,23247,5980,4,43,105556,8,14,18,43178,2,4,90,9,63,11894,3,1,388,53,143,1804,46,16,2,1351,3,193920
w,35100,427,172,1388,34231,610,109,54699,53725,7,717,3046,584,10466,26477,681,5,8071,4212,1075,184,7,132,15,852,25,237017
x,3370,29,5024,25,4520,152,23,1211,7185,0,3,445,38,21,971,6644,66,29,265,7545,1027,784,45,1247,1206,0,41875
y,3934,660,3049,5625,10885,480,1457,353,5392,21,143,8065,58723,7099,7644,4902,4,3905,13052,4995,176,50,527,368,12,232,141753
z,2924,13,12,66,10240,4,20,34,2662,4,10,715,72,53,13638,9,4,56,25,32,269,22,72,0,589,1190,32735
